ASPL,assortativity,average_degree,density,hx,network,transitivity
4.240033361134278,0.10773172484211317,3.5090909090909093,0.03219349457881568,3.232559009190808,CKM physicians,0.16228748068006182
3.3569539925965097,-0.04359402821531252,5.129032258064516,0.08408249603384453,3.2700683141013247,Dolphins,0.3087757313109426
3.606032017315423,0.0782987692548041,9.624007060900265,0.0085017730219967,3.324447101187182,Email Spain,0.16625006482393817
1.2602495543672014,-0.15095683882084168,24.41176470588235,0.7397504456327986,3.3461646493558086,Freeman's EIES,0.8203465298615816
1.6397306397306397,-0.06710372532118264,22.327272727272728,0.4134680134680135,3.349608679112022,Golden Age,0.5299394311124741
2.0431848852901484,-0.18269136963096438,8.102564102564102,0.21322537112010798,3.302844928763544,Kapferer tailor,0.3850574712643678
2.6411483253588517,-0.16522513442236916,6.597402597402597,0.08680792891319207,3.285820570940781,Les Miserables,0.49893162393162394
1.8623481781376519,-0.08199971825846754,11.23076923076923,0.29554655870445345,3.320069583792966,Hollywood music,0.5590601866752495
1.84,-0.10921042211135026,7.52,0.31333333333333335,3.295797553362876,Sampson's monastery,0.4508426966292135
2.9455314648334214,-0.08047566178575724,4.903225806451613,0.08038075092543628,3.2631548662699945,Terrorist,0.3608815426997245
